Bow-Tie Nebula|NGC 40|1788|3.5/11.4|Cepheus
Ghost of Jupiter|NGC 3242|1785|1.4/8.6|Hydra
Dumbbell Nebula|NGC 6853|1764|1.36/7.5|Vulpecula
Ring Nebula|NGC 6720|1779|2.3/9|Lyra
Eskimo Nebula|NGC 2392|1787|2.9/10.1|Gemini
Cat's Eye Nebula|NGC 6543|1786|3.3/9.8|Draco
Helix Nebula|NGC 7293|1824|0.68/7.6|Aquarius
Little Dumbbell Nebula|NGC 650|1780|3.4/10.1|Perseus
Owl Nebula|NGC 3587|1781|2.6/9.9|Ursa Major
Butterfly Nebula|NGC 2346|1802|3.9/11.9|Monoceros
Skull Nebula|NGC 246|1785|1.6/8|Cetus
Oyster Nebula|NGC 1501|1787|4.2/13|Camelopardalis
Blue Racquetball|NGC 6572|1825|2.5/8.1|Ophiuchus
Blue Flash Nebula|NGC 6905|1784|7.5/10.9|Delphinus
Fetus Nebula|NGC 7008|1787|2.7/12|Cygnus
Red Spider Nebula|NGC 6537|1888|3.9/11.9|Sagittarius
Bug Nebula|NGC 6302|1888|3.4/7.1|Scorpius
Saturn Nebula|NGC 7009|1782|3/8|Aquarius
Eight-burst Nebula|NGC 3132|1888|2.6/9.87|Vela
Spiral Planetary Nebula|NGC 5189|1835|2.6/9.5|Musca
Robin's Egg Nebula|NGC 1360|1868|1.5/9.4|Fornax
Cleopatra's Eye|NGC 1535|1785|6.5/10.5|Eridanus
Phantom Streak Nebula|NGC 6741|1882|7/11|Aquila
Little Gem Nebula|NGC 6818|1787|6/9.3|Sagittarius
The Box Nebula|NGC 6445|1786|4.5/11.2|Sagittarius